guideId,outletId,originType,mode,provider,line,boardingPoint,destination,estimatedDurationMin,estimatedDurationMax,estimatedFareMin,estimatedFareMax,currency,fareAccuracy,sourceNote,officialCheckNote,confidence,officialProviderUrl,operator,alightingPoint,suppressDerivedDurationFallback,transferPoints,displayDuration,walkNote,displayFare,checkedAt,sourceUrls,fareUnit
yenisahra-to-optimum-bus-minibus,optimum-premium-outlet-istanbul,cityCenter,bus,Municipal bus / public minibus,,Yenisahra / E5 corridor,Optimum Premium Outlet,,,,,,,,Confirm the current Yenisahra boarding point and return service before travel.,partial,,,,,,,,,,,
istanbul-to-optimum-road-access,optimum-premium-outlet-istanbul,taxiUber,taxi,,,,Optimum Premium Outlet,,,,,,,Official outlet access information identifies the Yenisahra exit and E5 roadside access.,"Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
izmir-to-optimum-izban-esbas,izmir-optimum,cityCenter,train,İZBAN,Southbound İZBAN toward Cumaovası / Tepeköy,Alsancak,İzmir Optimum,,,40,40,TRY,exact,"Official İzmir municipal tariff information sets the current full İZBAN fare at TRY 40 for the base journey plus TRY 1.50 per kilometre above 20 km. The selected Alsancak–Esbaş pair is treated within the 20 km base-fare bucket, so the exact ordinary full fare is TRY 40; no visitor refund is claimed. Travel to Alsancak, reusable İzmirim Kart purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.izban.com.tr/,İZBAN,Esbaş,true,,,The final pedestrian connection is free and excluded.,,,,
izmir-metro-to-optimum-izban-transfer,izmir-optimum,cityCenter,metro,İzmir Metro / İZBAN,İzmir Metro / İZBAN,,İzmir Optimum,,,,,,,,Confirm the current İzmir Metro and İZBAN transfer before travel.,exact,,İzmir Metro / İZBAN,Esbaş,,"[""Halkapınar"",""Hilal""]",,,,,,
akcay-caddesi-to-optimum-bus-minibus,izmir-optimum,cityCenter,bus,Municipal bus / public minibus,Akçay Caddesi airport-direction corridor,Akçay Caddesi,İzmir Optimum,,,,,,,,Confirm the current Akçay Caddesi boarding point and return service.,partial,,,Esbaş,,,,,,,,
izmir-to-optimum-road-access,izmir-optimum,taxiUber,taxi,,,,İzmir Optimum,,,,,,,Official access information identifies the Gaziemir exit and Akçay Caddesi approach.,"Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
antalya-to-deepo-antray-t1,deepo-outlet-center,cityCenter,metro,Antalya Ulaşım,T1A toward Havalimanı,İsmetpaşa,Deepo Outlet Center,,,42,42,TRY,exact,"Official Antalya Ulaşım information supports Antray T1A from central İsmetpaşa on the Havalimanı branch to Sinan. The exact TRY 42 ordinary full Antalyakart fare comes from the current municipal tariff decision and applies to the transfer-free tram journey; the municipal online fare page may not expose the tariff table. Travel to İsmetpaşa, AntalyaKart purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.antalyaulasim.com.tr/,Antalya Ulaşım,Sinan,true,,,The final pedestrian connection is free and excluded.,,,,
antalya-bus-station-airport-to-deepo-600,deepo-outlet-center,cityCenter,bus,Antalya Ulaşım,600 / 600G,Antalya Bus Station / Antalya Airport,Deepo Outlet Center,,,,,,,,"Confirm the current 600 or 600G route, stop, and timetable before travel.",exact,,Antalya Ulaşım,,,,,,,,,
antalya-to-deepo-public-buses,deepo-outlet-center,cityCenter,bus,Antalya Ulaşım,511 / AF04 / BA22 / 45 / SA19 / SA65 / 188 / MAN47,,Deepo Outlet Center,,,,,,,,"Confirm the current operator route, stop, and return service before travel.",exact,,Antalya Ulaşım,,,,,,,,,
antalya-to-deepo-road-taxi,deepo-outlet-center,taxiUber,taxi,,,Deepo Outlet Center taxi stand,Deepo Outlet Center,,,,,,,Official Deepo information publishes road access and an on-site taxi stand.,"Check traffic, taxi fare, taxi-stand availability, and return pickup before travel.",partial,,,,,,,,,,,
narita-airport-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,airport,bus,Narita Airport / Shisui Premium Outlets direct bus,,Narita Airport Terminal 2 1F No.3 / Terminal 1 1F No.30,Shisui Premium Outlets,15,20,500,500,JPY,exact,"Current official Shisui access pages publish the Narita Airport direct bus at JPY 500 one way. The English access overview shows approximately 20 minutes while the Japanese detailed bus page shows approximately 15 minutes, so the displayed estimate is 15–20 minutes.",Confirm the current timetable before travel.,exact,https://www.premiumoutlets.co.jp/en/shisui/access/,,,true,,,,,,,
tokyo-station-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,cityCenter,bus,Direct highway bus,,Bus Terminal Tokyo Yaesu No.A02,Shisui Premium Outlets,50,50,1300,1300,JPY,exact,"Official Shisui Premium Outlets access information publishes the Tokyo Station direct bus at JPY 1,300 one way and approximately 50 minutes.",Confirm the current timetable before travel.,exact,https://www.premiumoutlets.co.jp/en/shisui/access/,,,true,,,,,,,
sannomiya-to-kobe-sanda-premium-outlets-direct-bus,kobe-sanda-premium-outlets,cityCenter,bus,Shinki Bus,,Shinki Bus Kobe-Sannomiya Bus Terminal,Kobe-Sanda Premium Outlets,50,50,700,700,JPY,exact,Official Kobe-Sanda Premium Outlets timetable publishes JPY 700 adult one-way fare and approximately 50 minutes from Sannomiya.,Confirm the current Shinki Bus timetable before travel.,exact,https://www.premiumoutlets.co.jp/en/kobesanda/access/bus_schedule_root2.html,,,true,,,,,,,
kansai-airport-to-kobe-sanda-premium-outlets-bus,kobe-sanda-premium-outlets,airport,bus,Kansai Airport Limousine Bus + Shinki Bus,,Kansai International Airport,Kobe-Sanda Premium Outlets,120,140,2900,2900,JPY,exact,"Combined current adult one-way fares: JPY 2,200 Kansai Airport to Kobe Sannomiya airport limousine plus JPY 700 Sannomiya to Kobe-Sanda Premium Outlets Shinki Bus. Total JPY 2,900; total journey time depends on transfer waiting time.",Confirm both the airport limousine and Shinki Bus timetables before travel.,partial,https://www.premiumoutlets.co.jp/en/kobesanda/access/,,,true,"[""Kobe Sannomiya""]",,,,,,
tokyo-station-to-sano-premium-outlets-direct-bus,sano-premium-outlets,cityCenter,bus,JR Bus Kanto Marronnier Tokyo,,Tokyo Station Yaesu South Exit,Sano Premium Outlets,90,90,1600,1600,JPY,exact,"Current official Sano Premium Outlets information publishes the Marronnier Tokyo/Shinjuku highway bus at approximately 90 minutes and JPY 1,600 one way per person. Since January 2026, passengers use Sano Shintoshin Bus Terminal, approximately three minutes on foot from the outlet.",Confirm the current JR Bus Kanto timetable before travel.,exact,https://www.premiumoutlets.co.jp/sano/information/info210.html,,Sano Shintoshin Bus Terminal,true,,,,,,,
haneda-airport-to-sano-premium-outlets-direct-bus,sano-premium-outlets,airport,bus,Kanto Bus / Tokyo Airport Transportation Marronnier airport bus,,Haneda Airport terminal bus stop,Sano Premium Outlets,95,140,4600,4600,JPY,exact,"Current Kanto Bus fare effective July 1, 2026 is JPY 4,600 adult and JPY 2,300 child between Haneda Airport and Sano Shintoshin Bus Terminal. Current schedules vary by terminal and service; Sano Premium Outlets summarizes the journey as approximately 120 minutes.",Confirm the current airport-bus timetable and terminal boarding point before travel.,exact,https://www.kantobus.co.jp/airport/maronie02.html,,Sano Shintoshin Bus Terminal,true,,,,,,,
new-york-to-woodbury-common-bus,woodbury-common-premium-outlets,cityCenter,shuttle,Woodbury Bus,Woodbury Common shuttle,1651 Broadway / W 51st Street (McDonald’s),Woodbury Common — Bus Plaza 2,60,90,45,45,USD,exact,Operator advertises round-trip tickets starting at USD 45; booking fees and selected service can increase the total. The upper bound is not a price cap.,"Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Arrive 15 minutes before departure. The outlet return pickup is Bus Plaza 2. The displayed price is the advertised base ticket; booking fees, taxes and optional extras may increase the total. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.woodburybus.com/,Woodbury Bus,Woodbury Common — Bus Plaza 2,true,[],Approx. 60–90 min,,"from USD 45 (adult, round trip)",2026-09-12,"[""https://www.woodburybus.com/""]",roundTripFrom
fort-lauderdale-to-sawgrass-mills-bus-22,sawgrass-mills,station,bus,Broward County Transit,22,Fort Lauderdale Tri-Rail Station,Sawgrass Mills — West Dining Pavilion / Marshalls,45,75,2,2,USD,exact,"BCT regular adult one-way fare USD 2; the estimate covers route 22 from the station, not airport travel.",Carry exact cash or use the operator’s accepted pass/payment method; drivers may not give change. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.broward.org/bct/Schedules,Broward County Transit,Sawgrass Mills — West Dining Pavilion / Marshalls,true,[],Approx. 45–75 min,,"USD 2 (adult, one way)",2026-09-12,"[""https://www.broward.org/bct/Schedules"",""https://www.browardcdn.org/api/public/content/5d0ce92381ce4f1f9f4429f85dfc5d5c?v=655f7345"",""https://webapps.broward.org/NewsRelease/View.aspx?intMessageID=16207""]",oneWay
international-drive-to-orlando-vineland-trolley,orlando-vineland-premium-outlets,cityCenter,bus,I-RIDE Trolley,Red Line (southbound),International Drive / SeaWorld,Orlando Vineland Premium Outlets,20,45,2,2,USD,exact,Adult single fare USD 2. Journey depends on the boarding stop; estimate starts in the SeaWorld section of International Drive.,Carry exact cash or use the operator’s accepted pass/payment method; drivers may not give change. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.internationaldriveorlando.com/iride-trolley/,I-RIDE Trolley,Orlando Vineland Premium Outlets,true,[],Approx. 20–45 min,,"USD 2 (adult, one way)",2026-09-12,"[""https://www.internationaldriveorlando.com/iride-trolley/"",""https://www.idrivedistrict.com/i-ride-trolley/""]",oneWay
downtown-las-vegas-to-north-premium-outlets-loop,las-vegas-north-premium-outlets,cityCenter,shuttle,City of Las Vegas Downtown Loop,Downtown Loop,Fremont Street Experience / Main Street,Las Vegas North Premium Outlets — S Grand Central Parkway,15,35,0,0,USD,exact,City-operated Downtown Loop is free; journey time depends on the loop and wait.,This is a circulating downtown shuttle. Check today’s operating hours and the direction of the loop for the return trip. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.lasvegasnevada.gov/Residents/Parking-Transportation/Downtown-Loop,City of Las Vegas Downtown Loop,Las Vegas North Premium Outlets — S Grand Central Parkway,true,[],Approx. 15–35 min,,Free,2026-09-12,"[""https://www.lasvegasnevada.gov/Residents/Parking-Transportation/Downtown-Loop""]",oneWay
anaheim-to-desert-hills-premium-outlets-tour,desert-hills-premium-outlets,cityCenter,shuttle,Anaheim Tour Company,Desert Hills shopping tour,Anaheim hotel pickup (booking confirmation),Desert Hills Premium Outlets,75,90,79,79,USD,exact,Published adult round-trip tour price USD 79; child and group prices differ. One-way driving estimate; the full shopping excursion takes about nine hours.,"Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Departure is from Anaheim, not Palm Springs. Tours currently run Wednesday and Saturday; pickup is around 08:30–08:45. The full shopping excursion takes about 9 hours. The displayed price is the advertised base ticket; booking fees, taxes and optional extras may increase the total. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://anaheimtourcompany.com/la-hollywood-tours/desert-hills-premium-outlets-shopping-tour/,Anaheim Tour Company,Desert Hills Premium Outlets,true,[],Approx. 75–90 min,,"USD 79 (adult, round trip)",2026-09-12,"[""https://anaheimtourcompany.com/la-hollywood-tours/desert-hills-premium-outlets-shopping-tour/""]",roundTrip
dublin-pleasanton-bart-to-san-francisco-premium-outlets,san-francisco-premium-outlets,station,bus,Wheels (LAVTA),14,Dublin/Pleasanton BART Station,San Francisco Premium Outlets / Livermore Outlets Drive,15,30,2.5,2.5,USD,exact,Wheels adult cash single fare USD 2.50; BART travel to the station is separate. Transfer credit may reduce the fare with Clipper.,The quoted fare covers Wheels route 14 only. Travel to Dublin/Pleasanton on BART costs extra; Clipper transfer credit may reduce the bus fare. Wheels’ adult day pass is USD 4. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.wheelsbus.com/routes/route-14/,Wheels (LAVTA),San Francisco Premium Outlets / Livermore Outlets Drive,true,[],Approx. 15–30 min,,"USD 2.5 (adult, one way)",2026-09-12,"[""https://www.wheelsbus.com/routes/route-14/"",""https://www.wheelsbus.com/fares/""]",oneWay
siam-paragon-to-siam-premium-outlets-shuttle,siam-premium-outlets,cityCenter,shuttle,Siam Premium Outlets / Trip CS,Siam Paragon shuttle,"Siam Paragon — Gate 1, South Wing, G Floor (Lock Box / Bangkok Bank)",Siam Premium Outlets — 7-Eleven / Entrance A,60,90,150,150,THB,exact,Published THB 150 one-way fare. LINE @tripcs or +66 80 924 3300 for reservations. Outbound 10:00/14:00; return 12:00/16:00 at verification.,"Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. Outbound: 10:00 / 14:00; return: 12:00 / 16:00, as checked. Book through LINE @tripcs or +66 80 924 3300 and reconfirm the chosen return. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.siampremiumoutlets.com/en/getting_there,Siam Premium Outlets / Trip CS,Siam Premium Outlets — 7-Eleven / Entrance A,true,[],Approx. 60–90 min,,"THB 150 (adult, one way)",2026-09-12,"[""https://www.siampremiumoutlets.com/en/getting_there""]",oneWay
hkg-to-citygate-outlets-bus,citygate-outlets,airport,bus,Citybus / Long Win Bus,S1,Hong Kong Airport — Terminal 1 (Cheong Tat Road),Tung Chung Station / Citygate Outlets,10,20,3.7,3.7,HKD,estimated,"Route confirmed by outlet; HKD 3.70 from current third-party route data. Fare is marked estimated pending direct operator confirmation; it is for S1 only, not S64.","The fare estimate is for S1. S64 is an alternative mentioned by the outlet, with its own fare and timetable; check the operator before choosing it. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.citygateoutlets.com.hk/en/visit/get-here/,Citybus / Long Win Bus,Tung Chung Station / Citygate Outlets,true,[],Approx. 10–20 min,,"Approx. HKD 3.7 (adult, one way)",2026-09-12,"[""https://www.citygateoutlets.com.hk/en/visit/get-here/"",""https://hkbus.app/en/route/s1-1-tung-chung-station-airport-%28circular%29""]",oneWay
central-hong-kong-to-citygate-outlets-mtr,citygate-outlets,cityCenter,metro,MTR,Tung Chung Line,Hong Kong Station,Tung Chung Station — Exit C,30,40,24.3,28,HKD,exact,"Adult Hong Kong–Tung Chung: HKD 24.30 Octopus/contactless, HKD 28 single journey ticket; official fare matrices page 7 currently linked from MTR fare pages.","Adult fare range: HKD 24.30 with Octopus/contactless; HKD 28 for a single journey ticket. Use Tung Chung Line, not Airport Express. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.mtr.com.hk/en/customer/tickets/index.php,MTR,Tung Chung Station — Exit C,true,[],Approx. 30–40 min,,"HKD 24.3–28 (adult, one way)",2026-09-12,"[""https://www.mtr.com.hk/en/customer/tickets/index.php"",""https://www.mtr.com.hk/archive/ch/pdf/1_Metro_Fare_Matrix_FAM2024_Master_v3.pdf"",""https://www.mtr.com.hk/archive/ch/pdf/fam2024/sjst_mtr_fare_2024.pdf""]",oneWay
tpe-to-mitsui-outlet-park-linkou-airport-mrt,mitsui-outlet-park-linkou,airport,train,Taoyuan Metro,Airport MRT Commuter,A12 Airport Terminal 1 / A13 Airport Terminal 2,A9 Linkou Station,25,40,60,60,TWD,exact,"Official station fare matrix: A1–A9 TWD 75; A12/A13–A9 TWD 60. Duration includes 5–10 minutes walking; express trains skip A9, so use a commuter service.","Use a Commuter train that stops at A9. Express trains skip A9; if already on an Express, change at A8 to a Commuter train heading to A9. From A9, allow 5–10 minutes to walk to the outlet; follow signs for the correct building. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.tymetro.com.tw/tymetro-new/en/_pages/travel-guide/road.html,Taoyuan Metro,A9 Linkou Station,true,[],Approx. 25–40 min,,"TWD 60 (adult, one way)",2026-09-12,"[""https://www.tymetro.com.tw/tymetro-new/en/_pages/travel-guide/road.html"",""https://www.tymetro.com.tw/tymetro-new/en/_images/document/travel-guide/price.pdf"",""https://www.mitsui-shopping-park.com.tw/mop/linkou/en/access.html""]",oneWay
taipei-main-station-to-mitsui-outlet-park-linkou,mitsui-outlet-park-linkou,cityCenter,train,Taoyuan Metro,Airport MRT Commuter,A1 Taipei Main Station,A9 Linkou Station,40,50,75,75,TWD,exact,"Official station fare matrix: A1–A9 TWD 75; A12/A13–A9 TWD 60. Duration includes 5–10 minutes walking; express trains skip A9, so use a commuter service.","Use a Commuter train that stops at A9. Express trains skip A9; if already on an Express, change at A8 to a Commuter train heading to A9. From A9, allow 5–10 minutes to walk to the outlet; follow signs for the correct building. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://www.tymetro.com.tw/tymetro-new/en/_pages/travel-guide/road.html,Taoyuan Metro,A9 Linkou Station,true,[],Approx. 40–50 min,,"TWD 75 (adult, one way)",2026-09-12,"[""https://www.tymetro.com.tw/tymetro-new/en/_pages/travel-guide/road.html"",""https://www.tymetro.com.tw/tymetro-new/en/_images/document/travel-guide/price.pdf"",""https://www.mitsui-shopping-park.com.tw/mop/linkou/en/access.html""]",oneWay
myeongdong-to-yeoju-premium-outlets,yeoju-premium-outlets,station,bus,Seoul Metro / Seoul Express Bus Terminal,Line 4 → Line 3 → Yeoju Premium Outlets express,Myeongdong,Yeoju Premium Outlets,110,140,8000,10000,KRW,estimated,"Planning budget combines the outlet-published KRW 6,400 express bus segment with the feeder metro fare and distance supplements. Not an operator through-ticket price.","Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/01,Seoul Metro / Seoul Express Bus Terminal,Yeoju Premium Outlets,true,"[""Chungmuro"",""Seoul Express Bus Terminal — Platform 29""]",Approx. 110–140 min,,"Approx. KRW 8,000–10,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/01""]",oneWay
hongik-university-to-yeoju-premium-outlets,yeoju-premium-outlets,station,bus,Seoul Metro / Seoul Express Bus Terminal,Line 2 → Line 9 → Yeoju Premium Outlets express,Hongik University,Yeoju Premium Outlets,100,130,8000,10000,KRW,estimated,"Planning budget combines the outlet-published KRW 6,400 express bus segment with the feeder metro fare and distance supplements. Not an operator through-ticket price.","Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/01,Seoul Metro / Seoul Express Bus Terminal,Yeoju Premium Outlets,true,"[""Dangsan"",""Seoul Express Bus Terminal — Platform 29""]",Approx. 100–130 min,,"Approx. KRW 8,000–10,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/01""]",oneWay
gangnam-to-yeoju-premium-outlets,yeoju-premium-outlets,station,bus,Seoul Metro / Seoul Express Bus Terminal,Line 2 → Line 3 → Yeoju Premium Outlets express,Gangnam,Yeoju Premium Outlets,100,130,8000,10000,KRW,estimated,"Planning budget combines the outlet-published KRW 6,400 express bus segment with the feeder metro fare and distance supplements. Not an operator through-ticket price.","Reserve the outbound and return journey in advance; use the pickup details in your booking confirmation. This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/01,Seoul Metro / Seoul Express Bus Terminal,Yeoju Premium Outlets,true,"[""Gyodae"",""Seoul Express Bus Terminal — Platform 29""]",Approx. 100–130 min,,"Approx. KRW 8,000–10,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/01""]",oneWay
hongik-university-to-paju-premium-outlets,paju-premium-outlets,station,bus,Gyeonggi Bus (G-Bus),2200,Hongik University — Exit 1,Paju Premium Outlets,65,90,3200,3400,KRW,estimated,"Planning range around the October 2025 Gyeonggi metropolitan-bus adult base fare KRW 3,200; payment method and future fare changes may differ.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/02,Gyeonggi Bus (G-Bus),Paju Premium Outlets,true,[],Approx. 65–90 min,,"Approx. KRW 3,200–3,400 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/02"",""https://gits.gg.go.kr/""]",oneWay
myeongdong-to-paju-premium-outlets,paju-premium-outlets,station,bus,Seoul Metro / Gyeonggi Bus,Line 4 → AREX (all-stop) → 2200,Myeongdong,Paju Premium Outlets,95,125,4500,6000,KRW,estimated,"Planning budget includes metro/AREX feeder travel plus bus 2200; Myeongdong is Line 4, not Line 2. Actual transfer/distance charges depend on payment method.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/02,Seoul Metro / Gyeonggi Bus,Paju Premium Outlets,true,"[""Seoul Station"",""Hongik University — Exit 1""]",Approx. 95–125 min,,"Approx. KRW 4,500–6,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/02""]",oneWay
incheon-airport-to-paju-premium-outlets,paju-premium-outlets,airport,bus,Airport Limousine / Gyeonggi Bus,6002 → 2200,Incheon Airport — T1/T2 airport bus area,Paju Premium Outlets,120,165,20200,22000,KRW,estimated,"Budget combines official KRW 17,000 airport limousine fare with around KRW 3,200 bus 2200; transfers are paid separately. Allow for terminal and traffic differences.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/02,Airport Limousine / Gyeonggi Bus,Paju Premium Outlets,true,"[""Hapjeong""]",Approx. 120–165 min,,"Approx. KRW 20,200–22,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/02"",""https://www.airportlimousine.co.kr/en/sub/sub02_01.php"",""https://www.airportlimousine.co.kr/en/sub/sub01.php?cat_no=2""]",oneWay
bujeon-to-busan-premium-outlets,busan-premium-outlets,station,train,Busan Transit / KORAIL,Donghae Line → 302,Bujeon,Busan Premium Outlets,75,105,3500,5000,KRW,estimated,"Planning budget for the stated two-leg route, allowing separate cash fares and distance charges. Busan regular/express fares differ; transfer discounts may lower the total. Not a verified operator through fare.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/03,Busan Transit / KORAIL,Busan Premium Outlets,true,"[""Jwacheon""]",Approx. 75–105 min,,"Approx. KRW 3,500–5,000 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/03"",""https://www.busan.go.kr/eng/index""]",oneWay
haeundae-to-busan-premium-outlets,busan-premium-outlets,cityCenter,bus,Busan Transit / KORAIL,1003 → 8,Haeundae Beach,Busan Premium Outlets,80,110,3500,5500,KRW,estimated,"Planning budget for the stated two-leg route, allowing separate cash fares and distance charges. Busan regular/express fares differ; transfer discounts may lower the total. Not a verified operator through fare.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/03,Busan Transit / KORAIL,Busan Premium Outlets,true,"[""Gijang Telephone Office""]",Approx. 80–110 min,,"Approx. KRW 3,500–5,500 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/03"",""https://www.busan.go.kr/eng/index""]",oneWay
gimhae-airport-to-busan-premium-outlets,busan-premium-outlets,airport,bus,Busan Transit / KORAIL,307 → 3008,Gimhae Airport,Busan Premium Outlets,130,165,4000,6500,KRW,estimated,"Planning budget for the stated two-leg route, allowing separate cash fares and distance charges. Busan regular/express fares differ; transfer discounts may lower the total. Not a verified operator through fare.","This is a planning budget for the full route, not a guaranteed through fare. Payment method, distance supplements and transfer discounts affect the amount; airport/express tickets can be separate. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.",partial,https://app.premiumoutlets.co.kr/rpage/en/map/index/03,Busan Transit / KORAIL,Busan Premium Outlets,true,"[""Dongnae""]",Approx. 130–165 min,,"Approx. KRW 4,000–6,500 (adult, one way)",2026-09-12,"[""https://app.premiumoutlets.co.kr/rpage/en/map/index/03"",""https://www.busan.go.kr/eng/index""]",oneWay
kl-sentral-to-genting-highlands-premium-outlets,genting-highlands-premium-outlets,station,bus,Genting Express,Genting Express,KL Sentral — Lower Ground Floor bus counter,Awana Bus Terminal,60,90,10,10,MYR,exact,Outlet-published adult one-way bus-only fare MYR 10; cable car is separate and is not needed to reach the outlet.,Walk from Awana Bus Terminal to the outlet in the same mid-hill complex. A cable-car ticket is not needed for this visit. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.premiumoutlets.com.my/genting-highlands-premium-outlets/directions,Genting Express,Awana Bus Terminal,true,[],Approx. 60–90 min,,"MYR 10 (adult, one way)",2026-09-12,"[""https://www.premiumoutlets.com.my/genting-highlands-premium-outlets/directions""]",oneWay
klia-to-genting-highlands-premium-outlets,genting-highlands-premium-outlets,airport,bus,Genting Express,Genting Express,KLIA Terminal 1 / Terminal 2 bus counter,Awana Bus Terminal,120,180,35,35,MYR,exact,Outlet-published adult one-way fare MYR 35. Duration is a planning range including terminal differences and traffic.,Walk from Awana Bus Terminal to the outlet in the same mid-hill complex. A cable-car ticket is not needed for this visit. Check the operator’s timetable and last return before departure. Journey ranges are planning estimates and include walking/transfer allowance; long waits and heavy traffic can add time.,partial,https://www.premiumoutlets.com.my/genting-highlands-premium-outlets/directions,Genting Express,Awana Bus Terminal,true,[],Approx. 120–180 min,,"MYR 35 (adult, one way)",2026-09-12,"[""https://www.premiumoutlets.com.my/genting-highlands-premium-outlets/directions""]",oneWay
